Year,SeriesCode,Страна ,Type of renewable technology,Value
2014,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2014,EG_EGY_RNEW,Chile,ALL,470.895
2014,EG_EGY_RNEW,Chile,HYDROPOWER,364.433
2014,EG_EGY_RNEW,Chile,WIND,41.612
2014,EG_EGY_RNEW,Chile,BIOENERGY,52.355
2015,EG_EGY_RNEW,Chile,WIND,50.923
2015,EG_EGY_RNEW,Chile,HYDROPOWER,363.722
2015,EG_EGY_RNEW,Chile,ALL,472.955
2015,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2015,EG_EGY_RNEW,Chile,SOLAR,32.233
2015,EG_EGY_RNEW,Chile,BIOENERGY,26.077
2016,EG_EGY_RNEW,Chile,SOLAR,62.21
2016,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2016,EG_EGY_RNEW,Chile,ALL,514.202
2016,EG_EGY_RNEW,Chile,HYDROPOWER,368.934
2016,EG_EGY_RNEW,Chile,WIND,57.454
2016,EG_EGY_RNEW,Chile,BIOENERGY,25.603
2017,EG_EGY_RNEW,Chile,WIND,71.045
2017,EG_EGY_RNEW,Chile,HYDROPOWER,363.916
2017,EG_EGY_RNEW,Chile,ALL,560.12
2017,EG_EGY_RNEW,Chile,GEOTHERMAL,1.307
2017,EG_EGY_RNEW,Chile,SOLAR,98.483
2017,EG_EGY_RNEW,Chile,BIOENERGY,25.369
2018,EG_EGY_RNEW,Chile,SOLAR,114.269
2018,EG_EGY_RNEW,Chile,GEOTHERMAL,2.567
2018,EG_EGY_RNEW,Chile,ALL,580.492
2018,EG_EGY_RNEW,Chile,HYDROPOWER,357.194
2018,EG_EGY_RNEW,Chile,WIND,81.491
2018,EG_EGY_RNEW,Chile,BIOENERGY,24.971
2019,EG_EGY_RNEW,Chile,WIND,85.09
2019,EG_EGY_RNEW,Chile,HYDROPOWER,351.006
2019,EG_EGY_RNEW,Chile,ALL,603.907
2019,EG_EGY_RNEW,Chile,GEOTHERMAL,2.085
2019,EG_EGY_RNEW,Chile,SOLAR,139.379
2019,EG_EGY_RNEW,Chile,BIOENERGY,26.347
2020,EG_EGY_RNEW,Chile,SOLAR,166.082
2020,EG_EGY_RNEW,Chile,GEOTHERMAL,2.057
2020,EG_EGY_RNEW,Chile,ALL,653.818
2020,EG_EGY_RNEW,Chile,HYDROPOWER,350.925
2020,EG_EGY_RNEW,Chile,WIND,111.345
2020,EG_EGY_RNEW,Chile,BIOENERGY,23.409
2021,EG_EGY_RNEW,Chile,WIND,160.928
2021,EG_EGY_RNEW,Chile,HYDROPOWER,349.192
2021,EG_EGY_RNEW,Chile,ALL,763.868
2021,EG_EGY_RNEW,Chile,GEOTHERMAL,2.037
2021,EG_EGY_RNEW,Chile,SOLAR,229.223
2021,EG_EGY_RNEW,Chile,BIOENERGY,22.488
2000,EG_EGY_RNEW,China,GEOTHERMAL,0.017
2000,EG_EGY_RNEW,China,MARINE,0.003
2000,EG_EGY_RNEW,China,SOLAR,0.027
2000,EG_EGY_RNEW,China,WIND,0.27
2000,EG_EGY_RNEW,China,ALL,60.004
2000,EG_EGY_RNEW,China,HYDROPOWER,58.818
2000,EG_EGY_RNEW,China,BIOENERGY,0.87
2001,EG_EGY_RNEW,China,BIOENERGY,0.88
2001,EG_EGY_RNEW,China,HYDROPOWER,61.049
2001,EG_EGY_RNEW,China,ALL,62.28
2001,EG_EGY_RNEW,China,WIND,0.301
2001,EG_EGY_RNEW,China,SOLAR,0.03
2001,EG_EGY_RNEW,China,MARINE,0.003
2001,EG_EGY_RNEW,China,GEOTHERMAL,0.017
2002,EG_EGY_RNEW,China,HYDROPOWER,63.29
2002,EG_EGY_RNEW,China,BIOENERGY,1.29
2002,EG_EGY_RNEW,China,GEOTHERMAL,0.017
2002,EG_EGY_RNEW,China,MARINE,0.003
2002,EG_EGY_RNEW,China,SOLAR,0.044
2002,EG_EGY_RNEW,China,WIND,0.351
2002,EG_EGY_RNEW,China,ALL,64.994
2003,EG_EGY_RNEW,China,BIOENERGY,1.435
2003,EG_EGY_RNEW,China,HYDROPOWER,69.748
2003,EG_EGY_RNEW,China,ALL,71.679
2003,EG_EGY_RNEW,China,WIND,0.424
2003,EG_EGY_RNEW,China,SOLAR,0.052
2003,EG_EGY_RNEW,China,MARINE,0.003
2003,EG_EGY_RNEW,China,GEOTHERMAL,0.017
2004,EG_EGY_RNEW,China,WIND,0.588
2004,EG_EGY_RNEW,China,ALL,79.43
2004,EG_EGY_RNEW,China,HYDROPOWER,77.299
2004,EG_EGY_RNEW,China,BIOENERGY,1.465
2004,EG_EGY_RNEW,China,GEOTHERMAL,0.017
2004,EG_EGY_RNEW,China,MARINE,0.003
2004,EG_EGY_RNEW,China,SOLAR,0.059
2005,EG_EGY_RNEW,China,BIOENERGY,1.533
2005,EG_EGY_RNEW,China,HYDROPOWER,85.67
2005,EG_EGY_RNEW,China,ALL,88.143
2005,EG_EGY_RNEW,China,WIND,0.812
2005,EG_EGY_RNEW,China,SOLAR,0.108
2005,EG_EGY_RNEW,China,MARINE,0.003
2005,EG_EGY_RNEW,China,GEOTHERMAL,0.017
2006,EG_EGY_RNEW,China,MARINE,0.003
2006,EG_EGY_RNEW,China,SOLAR,0.122
2006,EG_EGY_RNEW,China,WIND,1.576
2006,EG_EGY_RNEW,China,ALL,98.124
2006,EG_EGY_RNEW,China,HYDROPOWER,94.503
2006,EG_EGY_RNEW,China,GEOTHERMAL,0.016
2006,EG_EGY_RNEW,China,BIOENERGY,1.904
2007,EG_EGY_RNEW,China,GEOTHERMAL,0.016
2007,EG_EGY_RNEW,China,BIOENERGY,2.27
2007,EG_EGY_RNEW,China,HYDROPOWER,105.398
2007,EG_EGY_RNEW,China,ALL,111.016
2007,EG_EGY_RNEW,China,WIND,3.178
2007,EG_EGY_RNEW,China,SOLAR,0.151
2007,EG_EGY_RNEW,China,MARINE,0.003
2008,EG_EGY_RNEW,China,GEOTHERMAL,0.019
2008,EG_EGY_RNEW,China,MARINE,0.003
2008,EG_EGY_RNEW,China,SOLAR,0.19
2008,EG_EGY_RNEW,China,WIND,6.306
2008,EG_EGY_RNEW,China,ALL,131.068
2008,EG_EGY_RNEW,China,HYDROPOWER,122.093
2008,EG_EGY_RNEW,China,BIOENERGY,2.458
2009,EG_EGY_RNEW,China,SOLAR,0.31
2009,EG_EGY_RNEW,China,MARINE,0.003
2009,EG_EGY_RNEW,China,GEOTHERMAL,0.018
2009,EG_EGY_RNEW,China,BIOENERGY,3.435
2009,EG_EGY_RNEW,China,HYDROPOWER,136.35
2009,EG_EGY_RNEW,China,ALL,153.259
2009,EG_EGY_RNEW,China,WIND,13.142
2010,EG_EGY_RNEW,China,GEOTHERMAL,0.018
