Year,SeriesCode,Страна ,Activity,Sex,Value
2011,SL_ISV_IFEM,Costa Rica,NONAGR,BOTHSEX,32.91
2011,SL_ISV_IFEM,Costa Rica,ISIC4_A,BOTHSEX,62.66
2011,SL_ISV_IFEM,Costa Rica,TOTAL,MALE,34.76
2012,SL_ISV_IFEM,Costa Rica,NONAGR,FEMALE,41.39
2012,SL_ISV_IFEM,Costa Rica,ISIC4_A,FEMALE,80.15
2011,SL_ISV_IFEM,Greece,TOTAL,BOTHSEX,7.81
2011,SL_ISV_IFEM,Greece,NONAGR,FEMALE,9.64
2011,SL_ISV_IFEM,Greece,TOTAL,FEMALE,13.49
2011,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,43.68
2011,SL_ISV_IFEM,Greece,NONAGR,MALE,3.16
2011,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,5.82
2011,SL_ISV_IFEM,Greece,ISIC4_A,MALE,9.52
2011,SL_ISV_IFEM,Greece,TOTAL,MALE,3.81
2011,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,24.4
2012,SL_ISV_IFEM,Greece,NONAGR,FEMALE,9.28
2012,SL_ISV_IFEM,Greece,TOTAL,BOTHSEX,7.73
2012,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,20.46
2012,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,35.48
2012,SL_ISV_IFEM,Greece,NONAGR,MALE,3.95
2012,SL_ISV_IFEM,Greece,TOTAL,FEMALE,12.55
2012,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,6.1
2012,SL_ISV_IFEM,Greece,ISIC4_A,MALE,8.15
2012,SL_ISV_IFEM,Greece,TOTAL,MALE,4.39
2018,SL_ISV_IFEM,Albania,TOTAL,MALE,60.21
2018,SL_ISV_IFEM,Albania,ISIC4_A,BOTHSEX,98.87
2018,SL_ISV_IFEM,Albania,TOTAL,BOTHSEX,57.86
2019,SL_ISV_IFEM,Albania,TOTAL,FEMALE,53.84
2019,SL_ISV_IFEM,Albania,ISIC4_A,FEMALE,99.81
2019,SL_ISV_IFEM,Albania,NONAGR,FEMALE,21.14
2019,SL_ISV_IFEM,Albania,ISIC4_A,MALE,99.03
2019,SL_ISV_IFEM,Albania,TOTAL,BOTHSEX,56.69
2019,SL_ISV_IFEM,Albania,ISIC4_A,BOTHSEX,99.43
2019,SL_ISV_IFEM,Albania,NONAGR,BOTHSEX,32.22
2012,SL_ISV_IFEM,Costa Rica,TOTAL,FEMALE,44.31
2012,SL_ISV_IFEM,Costa Rica,ISIC4_A,MALE,58.01
2012,SL_ISV_IFEM,Costa Rica,NONAGR,MALE,31.23
2012,SL_ISV_IFEM,Costa Rica,NONAGR,BOTHSEX,35.44
2012,SL_ISV_IFEM,Costa Rica,ISIC4_A,BOTHSEX,62.82
2012,SL_ISV_IFEM,Costa Rica,TOTAL,BOTHSEX,39.11
2012,SL_ISV_IFEM,Costa Rica,TOTAL,MALE,35.82
2013,SL_ISV_IFEM,Costa Rica,TOTAL,FEMALE,46.44
2013,SL_ISV_IFEM,Costa Rica,TOTAL,BOTHSEX,40.87
2013,SL_ISV_IFEM,Costa Rica,NONAGR,MALE,32.95
2013,SL_ISV_IFEM,Greece,TOTAL,BOTHSEX,8.23
2013,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,6.83
2013,SL_ISV_IFEM,Greece,ISIC4_A,MALE,10.96
2013,SL_ISV_IFEM,Greece,TOTAL,MALE,5.38
2013,SL_ISV_IFEM,Greece,NONAGR,MALE,4.65
2013,SL_ISV_IFEM,Greece,TOTAL,FEMALE,12.27
2013,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,33.42
2013,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,19.56
2013,SL_ISV_IFEM,Greece,NONAGR,FEMALE,9.88
2014,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,28.49
2014,SL_ISV_IFEM,Greece,ISIC4_A,MALE,9.31
2014,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,6.75
2014,SL_ISV_IFEM,Greece,NONAGR,FEMALE,8.93
2014,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,16.76
2014,SL_ISV_IFEM,Greece,TOTAL,BOTHSEX,7.99
2014,SL_ISV_IFEM,Greece,TOTAL,FEMALE,11.23
2014,SL_ISV_IFEM,Greece,NONAGR,MALE,5.25
2014,SL_ISV_IFEM,Greece,TOTAL,MALE,5.76
2013,SL_ISV_IFEM,Costa Rica,ISIC4_A,BOTHSEX,64.46
2013,SL_ISV_IFEM,Costa Rica,ISIC4_A,MALE,59.36
2013,SL_ISV_IFEM,Costa Rica,TOTAL,MALE,37.29
2013,SL_ISV_IFEM,Costa Rica,NONAGR,BOTHSEX,37.36
2013,SL_ISV_IFEM,Costa Rica,NONAGR,FEMALE,43.56
2013,SL_ISV_IFEM,Costa Rica,ISIC4_A,FEMALE,81.71
2014,SL_ISV_IFEM,Costa Rica,ISIC4_A,FEMALE,81.81
2014,SL_ISV_IFEM,Costa Rica,NONAGR,FEMALE,42.9
2014,SL_ISV_IFEM,Costa Rica,TOTAL,FEMALE,46.47
2014,SL_ISV_IFEM,Costa Rica,NONAGR,MALE,32.98
2015,SL_ISV_IFEM,Greece,NONAGR,MALE,4.37
2015,SL_ISV_IFEM,Greece,TOTAL,BOTHSEX,7.13
2015,SL_ISV_IFEM,Greece,TOTAL,MALE,4.82
2015,SL_ISV_IFEM,Greece,ISIC4_A,MALE,7.78
2015,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,15.8
2015,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,5.88
2015,SL_ISV_IFEM,Greece,NONAGR,FEMALE,7.96
2015,SL_ISV_IFEM,Greece,TOTAL,FEMALE,10.37
2015,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,28.68
2014,SL_ISV_IFEM,Costa Rica,NONAGR,BOTHSEX,37.06
2014,SL_ISV_IFEM,Costa Rica,ISIC4_A,BOTHSEX,65.78
2014,SL_ISV_IFEM,Costa Rica,TOTAL,BOTHSEX,41.22
2014,SL_ISV_IFEM,Costa Rica,TOTAL,MALE,37.91
2014,SL_ISV_IFEM,Costa Rica,ISIC4_A,MALE,60.58
2015,SL_ISV_IFEM,Costa Rica,TOTAL,BOTHSEX,42.05
2015,SL_ISV_IFEM,Costa Rica,ISIC4_A,BOTHSEX,66.67
2015,SL_ISV_IFEM,Costa Rica,NONAGR,BOTHSEX,37.51
2015,SL_ISV_IFEM,Costa Rica,ISIC4_A,FEMALE,81.97
2015,SL_ISV_IFEM,Costa Rica,NONAGR,FEMALE,43.66
2016,SL_ISV_IFEM,Greece,ISIC4_A,MALE,8.85
2016,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,18.55
2016,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,7.27
2016,SL_ISV_IFEM,Greece,NONAGR,FEMALE,9.53
2016,SL_ISV_IFEM,Greece,NONAGR,MALE,5.62
2016,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,34.05
2016,SL_ISV_IFEM,Greece,TOTAL,FEMALE,12.24
2016,SL_ISV_IFEM,Greece,TOTAL,MALE,6.03
