Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2018,ER_RSK_LST,Armenia,,,,,0.82911
2019,ER_RSK_LST,Armenia,,,,,0.82911
2020,ER_RSK_LST,Armenia,,,,,0.82911
2021,ER_RSK_LST,Armenia,,,,,0.82912
2022,ER_RSK_LST,Armenia,,,,,0.82912
2015,ER_RSK_LST,Greece,,,,,0.83909
2016,ER_RSK_LST,Greece,,,,,0.83848
2017,ER_RSK_LST,Greece,,,,,0.83768
2018,ER_RSK_LST,Greece,,,,,0.83671
2019,ER_RSK_LST,Greece,,,,,0.83565
2020,ER_RSK_LST,Greece,,,,,0.83506
2021,ER_RSK_LST,Greece,,,,,0.83402
2013,ER_RSK_LST,Colombia,,,,,0.74557
2014,ER_RSK_LST,Colombia,,,,,0.74402
2015,ER_RSK_LST,Colombia,,,,,0.74306
2016,ER_RSK_LST,Colombia,,,,,0.7418
2017,ER_RSK_LST,Colombia,,,,,0.74051
2018,ER_RSK_LST,Colombia,,,,,0.73951
2019,ER_RSK_LST,Colombia,,,,,0.73769
2023,ER_RSK_LST,Armenia,,,,,0.82913
2000,ER_RSK_LST,Belgium,,,,,0.98175
2001,ER_RSK_LST,Belgium,,,,,0.98166
2002,ER_RSK_LST,Belgium,,,,,0.98169
2003,ER_RSK_LST,Belgium,,,,,0.98173
2004,ER_RSK_LST,Belgium,,,,,0.98181
2005,ER_RSK_LST,Belgium,,,,,0.98187
2021,ER_RSK_LST,Malta,,,,,0.87242
2022,ER_RSK_LST,Malta,,,,,0.87242
2023,ER_RSK_LST,Malta,,,,,0.87242
2000,ER_RSK_LST,Mexico,,,,,0.72242
2001,ER_RSK_LST,Mexico,,,,,0.72028
2002,ER_RSK_LST,Mexico,,,,,0.71798
2003,ER_RSK_LST,Mexico,,,,,0.71579
2004,ER_RSK_LST,Mexico,,,,,0.71379
2005,ER_RSK_LST,Mexico,,,,,0.71128
2006,ER_RSK_LST,Mexico,,,,,0.70927
2007,ER_RSK_LST,Mexico,,,,,0.707
2008,ER_RSK_LST,Mexico,,,,,0.70505
2009,ER_RSK_LST,Mexico,,,,,0.70242
2010,ER_RSK_LST,Mexico,,,,,0.69996
2020,ER_RSK_LST,Colombia,,,,,0.73677
2021,ER_RSK_LST,Colombia,,,,,0.73535
2022,ER_RSK_LST,Colombia,,,,,0.7341
2023,ER_RSK_LST,Colombia,,,,,0.73314
2000,ER_RSK_LST,Costa Rica,,,,,0.84356
2001,ER_RSK_LST,Costa Rica,,,,,0.84198
2002,ER_RSK_LST,Costa Rica,,,,,0.84047
2006,ER_RSK_LST,Belgium,,,,,0.98203
2007,ER_RSK_LST,Belgium,,,,,0.98213
2008,ER_RSK_LST,Belgium,,,,,0.98227
2009,ER_RSK_LST,Belgium,,,,,0.98234
2010,ER_RSK_LST,Belgium,,,,,0.98248
2011,ER_RSK_LST,Belgium,,,,,0.98261
2012,ER_RSK_LST,Belgium,,,,,0.98275
2011,ER_RSK_LST,Mexico,,,,,0.69757
2012,ER_RSK_LST,Mexico,,,,,0.69569
2013,ER_RSK_LST,Mexico,,,,,0.69344
2014,ER_RSK_LST,Mexico,,,,,0.69137
2015,ER_RSK_LST,Mexico,,,,,0.689
2016,ER_RSK_LST,Mexico,,,,,0.68621
2017,ER_RSK_LST,Mexico,,,,,0.6842
2003,ER_RSK_LST,Costa Rica,,,,,0.83907
2004,ER_RSK_LST,Costa Rica,,,,,0.83721
2005,ER_RSK_LST,Costa Rica,,,,,0.83551
2006,ER_RSK_LST,Costa Rica,,,,,0.83399
2007,ER_RSK_LST,Costa Rica,,,,,0.83284
2008,ER_RSK_LST,Costa Rica,,,,,0.83171
2009,ER_RSK_LST,Costa Rica,,,,,0.83048
2018,ER_RSK_LST,Mexico,,,,,0.68219
2019,ER_RSK_LST,Mexico,,,,,0.68017
2020,ER_RSK_LST,Mexico,,,,,0.67768
2021,ER_RSK_LST,Mexico,,,,,0.67574
2022,ER_RSK_LST,Mexico,,,,,0.67352
2023,ER_RSK_LST,Mexico,,,,,0.67174
2000,ER_RSK_LST,Moldova,,,,,0.94138
2010,ER_RSK_LST,Costa Rica,,,,,0.82918
2011,ER_RSK_LST,Costa Rica,,,,,0.82748
2012,ER_RSK_LST,Costa Rica,,,,,0.82585
2013,ER_RSK_LST,Costa Rica,,,,,0.82443
2014,ER_RSK_LST,Costa Rica,,,,,0.82295
2015,ER_RSK_LST,Costa Rica,,,,,0.82115
2016,ER_RSK_LST,Costa Rica,,,,,0.81989
2001,ER_RSK_LST,Moldova,,,,,0.94138
2002,ER_RSK_LST,Moldova,,,,,0.94139
2003,ER_RSK_LST,Moldova,,,,,0.9414
2004,ER_RSK_LST,Moldova,,,,,0.94162
2005,ER_RSK_LST,Moldova,,,,,0.94164
2006,ER_RSK_LST,Moldova,,,,,0.94187
2007,ER_RSK_LST,Moldova,,,,,0.94211
2022,ER_RSK_LST,Greece,,,,,0.83332
2023,ER_RSK_LST,Greece,,,,,0.83233
2000,ER_RSK_LST,Hungary,,,,,0.8635
2001,ER_RSK_LST,Hungary,,,,,0.86337
2002,ER_RSK_LST,Hungary,,,,,0.86323
2003,ER_RSK_LST,Hungary,,,,,0.86331
2004,ER_RSK_LST,Hungary,,,,,0.86338
2017,ER_RSK_LST,Costa Rica,,,,,0.81799
2018,ER_RSK_LST,Costa Rica,,,,,0.81677
2019,ER_RSK_LST,Costa Rica,,,,,0.81511
2020,ER_RSK_LST,Costa Rica,,,,,0.81375
2021,ER_RSK_LST,Costa Rica,,,,,0.8126
2022,ER_RSK_LST,Costa Rica,,,,,0.81115
2023,ER_RSK_LST,Costa Rica,,,,,0.80962
2008,ER_RSK_LST,Moldova,,,,,0.94254
2009,ER_RSK_LST,Moldova,,,,,0.94259
2010,ER_RSK_LST,Moldova,,,,,0.94293
2011,ER_RSK_LST,Moldova,,,,,0.94309
2012,ER_RSK_LST,Moldova,,,,,0.94341
2013,ER_RSK_LST,Moldova,,,,,0.94375
2014,ER_RSK_LST,Moldova,,,,,0.94396
2013,ER_RSK_LST,Belgium,,,,,0.98291
2014,ER_RSK_LST,Belgium,,,,,0.98299
2015,ER_RSK_LST,Belgium,,,,,0.98308
2016,ER_RSK_LST,Belgium,,,,,0.98323
2017,ER_RSK_LST,Belgium,,,,,0.98335
2018,ER_RSK_LST,Belgium,,,,,0.98349
2019,ER_RSK_LST,Belgium,,,,,0.98362
2000,ER_RSK_LST,Croatia,,,,,0.89721
2001,ER_RSK_LST,Croatia,,,,,0.89688
2002,ER_RSK_LST,Croatia,,,,,0.89654
2003,ER_RSK_LST,Croatia,,,,,0.89631
2004,ER_RSK_LST,Croatia,,,,,0.89614
2005,ER_RSK_LST,Croatia,,,,,0.89605
2006,ER_RSK_LST,Croatia,,,,,0.89598
