Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2019,SH_PRV_SMOK,France,15+,,BOTHSEX,33.6
2019,SH_PRV_SMOK,France,15+,,FEMALE,31.9
2019,SH_PRV_SMOK,France,15+,,MALE,35.2
2020,SH_PRV_SMOK,France,15+,,MALE,34.9
2020,SH_PRV_SMOK,France,15+,,FEMALE,31.9
2020,SH_PRV_SMOK,France,15+,,BOTHSEX,33.4
2000,SH_PRV_SMOK,Georgia,15+,,MALE,60.2
2000,SH_PRV_SMOK,Georgia,15+,,FEMALE,5.4
2000,SH_PRV_SMOK,Georgia,15+,,BOTHSEX,32.8
2005,SH_PRV_SMOK,Georgia,15+,,FEMALE,5.8
2005,SH_PRV_SMOK,Georgia,15+,,BOTHSEX,32.6
2005,SH_PRV_SMOK,Georgia,15+,,MALE,59.3
2010,SH_PRV_SMOK,Georgia,15+,,MALE,58.1
2010,SH_PRV_SMOK,Georgia,15+,,FEMALE,6.2
2010,SH_PRV_SMOK,Georgia,15+,,BOTHSEX,32.2
2015,SH_PRV_SMOK,Georgia,15+,,BOTHSEX,32.0
2015,SH_PRV_SMOK,Georgia,15+,,FEMALE,6.6
2015,SH_PRV_SMOK,Georgia,15+,,MALE,57.3
2018,SH_PRV_SMOK,Georgia,15+,,MALE,56.7
2018,SH_PRV_SMOK,Georgia,15+,,FEMALE,6.9
2018,SH_PRV_SMOK,Georgia,15+,,BOTHSEX,31.7
2019,SH_PRV_SMOK,Georgia,15+,,BOTHSEX,31.7
2000,SH_PRV_SMOK,Slovenia,15+,,BOTHSEX,25.1
2000,SH_PRV_SMOK,Slovenia,15+,,FEMALE,23.1
2005,SH_PRV_SMOK,Slovenia,15+,,FEMALE,22.1
2005,SH_PRV_SMOK,Slovenia,15+,,BOTHSEX,24.2
2005,SH_PRV_SMOK,Slovenia,15+,,MALE,26.2
2010,SH_PRV_SMOK,Slovenia,15+,,FEMALE,21.3
2010,SH_PRV_SMOK,Slovenia,15+,,BOTHSEX,23.5
2010,SH_PRV_SMOK,Slovenia,15+,,MALE,25.7
2019,SH_PRV_SMOK,Georgia,15+,,FEMALE,7.0
2019,SH_PRV_SMOK,Georgia,15+,,MALE,56.3
2020,SH_PRV_SMOK,Georgia,15+,,MALE,56.3
2020,SH_PRV_SMOK,Georgia,15+,,FEMALE,7.1
2020,SH_PRV_SMOK,Georgia,15+,,BOTHSEX,31.7
2000,SH_PRV_SMOK,Germany,15+,,BOTHSEX,36.4
2000,SH_PRV_SMOK,Germany,15+,,FEMALE,31.6
2000,SH_PRV_SMOK,Germany,15+,,MALE,41.1
2015,SH_PRV_SMOK,Slovenia,15+,,MALE,25.0
2015,SH_PRV_SMOK,Slovenia,15+,,FEMALE,20.4
2015,SH_PRV_SMOK,Slovenia,15+,,BOTHSEX,22.7
2018,SH_PRV_SMOK,Slovenia,15+,,MALE,24.7
2018,SH_PRV_SMOK,Slovenia,15+,,FEMALE,20.0
2018,SH_PRV_SMOK,Slovenia,15+,,BOTHSEX,22.3
2019,SH_PRV_SMOK,Slovenia,15+,,FEMALE,19.8
2019,SH_PRV_SMOK,Slovenia,15+,,MALE,24.7
2005,SH_PRV_SMOK,Germany,15+,,BOTHSEX,32.1
2005,SH_PRV_SMOK,Germany,15+,,MALE,35.9
2005,SH_PRV_SMOK,Germany,15+,,FEMALE,28.3
2010,SH_PRV_SMOK,Germany,15+,,MALE,31.4
2010,SH_PRV_SMOK,Germany,15+,,FEMALE,25.1
2010,SH_PRV_SMOK,Germany,15+,,BOTHSEX,28.3
2015,SH_PRV_SMOK,Germany,15+,,MALE,27.5
2015,SH_PRV_SMOK,Germany,15+,,FEMALE,22.3
2015,SH_PRV_SMOK,Germany,15+,,BOTHSEX,24.9
2018,SH_PRV_SMOK,Germany,15+,,MALE,25.5
2018,SH_PRV_SMOK,Germany,15+,,FEMALE,20.9
2018,SH_PRV_SMOK,Germany,15+,,BOTHSEX,22.5
2019,SH_PRV_SMOK,Germany,15+,,BOTHSEX,22.5
2019,SH_PRV_SMOK,Germany,15+,,FEMALE,20.4
2019,SH_PRV_SMOK,Germany,15+,,MALE,24.6
2020,SH_PRV_SMOK,Germany,15+,,BOTHSEX,22.0
2019,SH_PRV_SMOK,Slovenia,15+,,BOTHSEX,22.3
2020,SH_PRV_SMOK,Slovenia,15+,,MALE,24.4
2020,SH_PRV_SMOK,Slovenia,15+,,FEMALE,19.6
2020,SH_PRV_SMOK,Slovenia,15+,,BOTHSEX,22.0
2000,SH_PRV_SMOK,Spain,15+,,MALE,44.5
2000,SH_PRV_SMOK,Spain,15+,,FEMALE,29.0
2000,SH_PRV_SMOK,Spain,15+,,BOTHSEX,36.8
2005,SH_PRV_SMOK,Spain,15+,,BOTHSEX,34.3
2020,SH_PRV_SMOK,Germany,15+,,FEMALE,19.9
2020,SH_PRV_SMOK,Germany,15+,,MALE,24.1
2000,SH_PRV_SMOK,Greece,15+,,MALE,65.9
2000,SH_PRV_SMOK,Greece,15+,,FEMALE,43.8
2000,SH_PRV_SMOK,Greece,15+,,BOTHSEX,54.9
2005,SH_PRV_SMOK,Greece,15+,,FEMALE,40.0
2005,SH_PRV_SMOK,Greece,15+,,MALE,57.0
2005,SH_PRV_SMOK,Greece,15+,,BOTHSEX,48.5
2005,SH_PRV_SMOK,Spain,15+,,FEMALE,28.5
2005,SH_PRV_SMOK,Spain,15+,,MALE,40.1
2010,SH_PRV_SMOK,Spain,15+,,MALE,35.8
