Year,SeriesCode,Страна ,Activity,Value
2019,ER_H2O_STRESS,Georgia,TOTAL,5.12
2020,ER_H2O_STRESS,Georgia,INDUSTRIES,1.11
2020,ER_H2O_STRESS,Georgia,TOTAL,5.39
2020,ER_H2O_STRESS,Georgia,ISIC4_A01_A0210_A0322,2.31
2020,ER_H2O_STRESS,Georgia,ISIC4_GTT,1.97
2000,ER_H2O_STRESS,Germany,ISIC4_GTT,15.59
2000,ER_H2O_STRESS,Germany,ISIC4_A01_A0210_A0322,0.42
2017,ER_H2O_STRESS,Chile,TOTAL,8.98
2017,ER_H2O_STRESS,Chile,ISIC4_GTT,0.36
2018,ER_H2O_STRESS,Chile,TOTAL,8.98
2018,ER_H2O_STRESS,Chile,ISIC4_GTT,0.36
2018,ER_H2O_STRESS,Chile,ISIC4_A01_A0210_A0322,8.16
2018,ER_H2O_STRESS,Chile,INDUSTRIES,0.46
2019,ER_H2O_STRESS,Chile,ISIC4_A01_A0210_A0322,8.16
2019,ER_H2O_STRESS,Chile,INDUSTRIES,0.46
2019,ER_H2O_STRESS,Chile,ISIC4_GTT,0.36
2019,ER_H2O_STRESS,Chile,TOTAL,8.98
2006,ER_H2O_STRESS,Azerbaijan,TOTAL,53.63
2006,ER_H2O_STRESS,Azerbaijan,ISIC4_GTT,3.61
2007,ER_H2O_STRESS,Azerbaijan,TOTAL,53.37
2007,ER_H2O_STRESS,Azerbaijan,ISIC4_A01_A0210_A0322,37.32
2007,ER_H2O_STRESS,Azerbaijan,ISIC4_GTT,2.61
2007,ER_H2O_STRESS,Azerbaijan,INDUSTRIES,13.43
2008,ER_H2O_STRESS,Azerbaijan,INDUSTRIES,12.92
2008,ER_H2O_STRESS,Azerbaijan,ISIC4_A01_A0210_A0322,35.48
2008,ER_H2O_STRESS,Azerbaijan,TOTAL,50.92
2008,ER_H2O_STRESS,Azerbaijan,ISIC4_GTT,2.51
2020,ER_H2O_STRESS,Chile,ISIC4_GTT,0.36
2020,ER_H2O_STRESS,Chile,TOTAL,8.98
2020,ER_H2O_STRESS,Chile,INDUSTRIES,0.46
2020,ER_H2O_STRESS,Chile,ISIC4_A01_A0210_A0322,8.16
2000,ER_H2O_STRESS,China,ISIC4_GTT,4.21
2000,ER_H2O_STRESS,China,TOTAL,40.23
2000,ER_H2O_STRESS,China,INDUSTRIES,8.34
2000,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,27.69
2001,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,27.38
2001,ER_H2O_STRESS,China,INDUSTRIES,8.55
2001,ER_H2O_STRESS,China,ISIC4_GTT,4.35
2001,ER_H2O_STRESS,China,TOTAL,40.28
2002,ER_H2O_STRESS,China,TOTAL,40.33
2002,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,27.07
2002,ER_H2O_STRESS,China,ISIC4_GTT,4.5
2002,ER_H2O_STRESS,China,INDUSTRIES,8.76
2003,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,26.76
2003,ER_H2O_STRESS,China,INDUSTRIES,8.97
2003,ER_H2O_STRESS,China,TOTAL,40.37
2003,ER_H2O_STRESS,China,ISIC4_GTT,4.64
2000,ER_H2O_STRESS,Germany,TOTAL,61.52
2000,ER_H2O_STRESS,Germany,INDUSTRIES,45.51
2001,ER_H2O_STRESS,Germany,TOTAL,60.17
2001,ER_H2O_STRESS,Germany,INDUSTRIES,44.09
2001,ER_H2O_STRESS,Germany,ISIC4_A01_A0210_A0322,0.42
2001,ER_H2O_STRESS,Germany,ISIC4_GTT,15.65
2002,ER_H2O_STRESS,Germany,TOTAL,58.63
2002,ER_H2O_STRESS,Germany,ISIC4_GTT,15.23
2002,ER_H2O_STRESS,Germany,INDUSTRIES,42.99
2002,ER_H2O_STRESS,Germany,ISIC4_A01_A0210_A0322,0.41
2009,ER_H2O_STRESS,Azerbaijan,TOTAL,49.19
2009,ER_H2O_STRESS,Azerbaijan,ISIC4_A01_A0210_A0322,36.17
2009,ER_H2O_STRESS,Azerbaijan,INDUSTRIES,10.25
2009,ER_H2O_STRESS,Azerbaijan,ISIC4_GTT,2.77
2010,ER_H2O_STRESS,Azerbaijan,INDUSTRIES,10.6
2010,ER_H2O_STRESS,Azerbaijan,ISIC4_A01_A0210_A0322,34.96
2010,ER_H2O_STRESS,Azerbaijan,TOTAL,48.44
2010,ER_H2O_STRESS,Azerbaijan,ISIC4_GTT,2.88
2011,ER_H2O_STRESS,Azerbaijan,ISIC4_GTT,2.8
2011,ER_H2O_STRESS,Azerbaijan,TOTAL,49.88
2014,ER_H2O_STRESS,Austria,TOTAL,9.64
2014,ER_H2O_STRESS,Austria,INDUSTRIES,7.44
2014,ER_H2O_STRESS,Austria,ISIC4_GTT,1.99
2014,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.21
2015,ER_H2O_STRESS,Austria,INDUSTRIES,7.44
2015,ER_H2O_STRESS,Austria,ISIC4_GTT,1.99
2015,ER_H2O_STRESS,Austria,TOTAL,9.64
2015,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.21
2016,ER_H2O_STRESS,Austria,TOTAL,9.64
2016,ER_H2O_STRESS,Austria,ISIC4_GTT,1.99
2011,ER_H2O_STRESS,Azerbaijan,INDUSTRIES,10.63
2011,ER_H2O_STRESS,Azerbaijan,ISIC4_A01_A0210_A0322,36.45
2012,ER_H2O_STRESS,Azerbaijan,ISIC4_GTT,2.16
2012,ER_H2O_STRESS,Azerbaijan,INDUSTRIES,13.74
2012,ER_H2O_STRESS,Azerbaijan,ISIC4_A01_A0210_A0322,39.26
2012,ER_H2O_STRESS,Azerbaijan,TOTAL,52.88
2013,ER_H2O_STRESS,Azerbaijan,TOTAL,52.97
2013,ER_H2O_STRESS,Azerbaijan,ISIC4_GTT,2.34
2013,ER_H2O_STRESS,Azerbaijan,INDUSTRIES,12.89
2013,ER_H2O_STRESS,Azerbaijan,ISIC4_A01_A0210_A0322,37.73
2014,ER_H2O_STRESS,Azerbaijan,INDUSTRIES,13.22
2014,ER_H2O_STRESS,Azerbaijan,ISIC4_A01_A0210_A0322,35.69
2014,ER_H2O_STRESS,Azerbaijan,TOTAL,51.19
