Year,SeriesCode,Страна ,Age,Value
2015,FB_CBK_BRCH,Slovenia,15+,31.1787970549951
2016,FB_CBK_BRCH,Slovenia,15+,30.6276103076967
2017,FB_CBK_BRCH,Slovenia,15+,29.4577443443121
2018,FB_CBK_BRCH,Slovenia,15+,27.9171428279612
2020,FB_CBK_BRCH,China,15+,8.7377493982521
2021,FB_CBK_BRCH,China,15+,8.77003350882276
2008,FB_CBK_BRCH,Colombia,15+,14.0275201165451
2009,FB_CBK_BRCH,Colombia,15+,13.9581935835687
2010,FB_CBK_BRCH,Colombia,15+,13.793989548005
2011,FB_CBK_BRCH,Colombia,15+,14.7585649229987
2012,FB_CBK_BRCH,Colombia,15+,15.0457933767214
2013,FB_CBK_BRCH,Colombia,15+,15.6633761924944
2014,FB_CBK_BRCH,Colombia,15+,15.6472075883702
2015,FB_CBK_BRCH,Colombia,15+,16.1972986564105
2016,FB_CBK_BRCH,Colombia,15+,15.9520148526185
2017,FB_CBK_BRCH,Colombia,15+,15.3711619402862
2018,FB_CBK_BRCH,Colombia,15+,14.8611285520604
2019,FB_CBK_BRCH,Colombia,15+,14.4843948231407
2020,FB_CBK_BRCH,Colombia,15+,13.4990960025401
2021,FB_CBK_BRCH,Colombia,15+,12.7779982497863
2004,FB_CBK_BRCH,Costa Rica,15+,16.115307828744
2005,FB_CBK_BRCH,Costa Rica,15+,18.008000054024
2006,FB_CBK_BRCH,Costa Rica,15+,18.5918203527672
2007,FB_CBK_BRCH,Costa Rica,15+,20.6986500733512
2008,FB_CBK_BRCH,Costa Rica,15+,20.4120529114081
2009,FB_CBK_BRCH,Costa Rica,15+,19.9949467851718
2010,FB_CBK_BRCH,Costa Rica,15+,20.0593294353775
2011,FB_CBK_BRCH,Costa Rica,15+,22.8708110919183
2012,FB_CBK_BRCH,Costa Rica,15+,22.7991067426897
2013,FB_CBK_BRCH,Costa Rica,15+,22.3252637718971
2019,FB_CBK_BRCH,Slovenia,15+,27.4687930257468
2020,FB_CBK_BRCH,Slovenia,15+,24.661078316859
2021,FB_CBK_BRCH,Slovenia,15+,22.5857433644595
2004,FB_CBK_BRCH,Spain,15+,97.429668179072
2005,FB_CBK_BRCH,Spain,15+,99.1851028458076
2006,FB_CBK_BRCH,Spain,15+,101.829489397057
2007,FB_CBK_BRCH,Spain,15+,104.34438749961
2008,FB_CBK_BRCH,Spain,15+,103.974623153198
2009,FB_CBK_BRCH,Spain,15+,99.2986264293109
2010,FB_CBK_BRCH,Spain,15+,95.9316871242148
2011,FB_CBK_BRCH,Spain,15+,88.4221246170928
2012,FB_CBK_BRCH,Spain,15+,83.887554618314
2013,FB_CBK_BRCH,Spain,15+,73.6133879936443
2014,FB_CBK_BRCH,Costa Rica,15+,22.094891774053
2015,FB_CBK_BRCH,Costa Rica,15+,22.0983700729776
2016,FB_CBK_BRCH,Costa Rica,15+,21.5733332706505
2017,FB_CBK_BRCH,Costa Rica,15+,20.5312625180808
2018,FB_CBK_BRCH,Costa Rica,15+,19.6780077923894
2019,FB_CBK_BRCH,Costa Rica,15+,18.9526870642765
2020,FB_CBK_BRCH,Costa Rica,15+,17.1827653640081
2021,FB_CBK_BRCH,Costa Rica,15+,16.3417588534602
2004,FB_CBK_BRCH,Croatia,15+,29.7395139192534
2005,FB_CBK_BRCH,Croatia,15+,31.6619320606521
2006,FB_CBK_BRCH,Croatia,15+,31.6854173010608
