Year,SeriesCode,GeoAreaName,Disability status,Sex,Value
2015,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",4.55
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",4.48
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",20.28
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",5.55
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",4.94
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",5.62
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",6.71
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",6.18
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",9.32
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",6.9
2015,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",2.71
2016,"SL_TLF_UEMDIS_19ICLS","Malta","PD","BOTHSEX",30.4
2016,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",2.17
2016,"SL_TLF_UEMDIS_19ICLS","Malta","PD","MALE",39.01
2016,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",3.59
2016,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",4.2
2016,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",3.41
2016,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",2.18
2016,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",4.5
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",7.2
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",11.47
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",5.69
2020,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",6.31
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",8.19
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",7.66
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",18.25
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",7.48
2021,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",8.01
2017,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",3.62
2017,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",2.86
