Year,SeriesCode,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.89
2021,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.21
2021,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.67
2021,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.05
2021,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.32
2021,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.06
2018,"SG_DMK_PSRVC","Poland","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.52
2018,"SG_DMK_PSRVC","Poland","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.87612
2018,"SG_DMK_PSRVC","Poland","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.01
2018,"SG_DMK_PSRVC","Poland","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.55373
2018,"SG_DMK_PSRVC","Poland","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",0.46567
2018,"SG_DMK_PSRVC","Poland","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.41146
2018,"SG_DMK_PSRVC","Poland","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.17114
2018,"SG_DMK_PSRVC","Poland","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.17114
