Year,SeriesCode,GeoAreaName,Type of product,Value
2014,"EN_MAT_DOMCMPC","Albania","FOF",0.35961
2014,"EN_MAT_DOMCMPC","Albania","NMC",5.16701
2014,"EN_MAT_DOMCMPC","Albania","FEO",-0.08453
2014,"EN_MAT_DOMCMPC","Albania","NMA",0.30947
2014,"EN_MAT_DOMCMPC","Albania","WOD",0.28869
2015,"EN_MAT_DOMCMPC","Albania","PET",0.10102
2015,"EN_MAT_DOMCMPC","Albania","WOD",0.28835
2015,"EN_MAT_DOMCMPC","Albania","FOF",0.3589
2015,"EN_MAT_DOMCMPC","Albania","NFO",0.32639
2015,"EN_MAT_DOMCMPC","Albania","FEO",-0.03457
2015,"EN_MAT_DOMCMPC","Albania","WCH",0.00611
2015,"EN_MAT_DOMCMPC","Albania","NMA",0.44974
2015,"EN_MAT_DOMCMPC","Albania","CRO",1.08491
2015,"EN_MAT_DOMCMPC","Albania","MEO",0.29182
2015,"EN_MAT_DOMCMPC","Albania","NMC",4.62429
2015,"EN_MAT_DOMCMPC","Albania","COL",0.24995
2015,"EN_MAT_DOMCMPC","Albania","ALP",9.49966
2015,"EN_MAT_DOMCMPC","Albania","NMM",5.07403
2015,"EN_MAT_DOMCMPC","Albania","GAS",0.00793
2015,"EN_MAT_DOMCMPC","Albania","GBO",1.46942
2015,"EN_MAT_DOMCMPC","Albania","BIM",3.25054
2015,"EN_MAT_DOMCMPC","Albania","CPR",0.40175
2015,"EN_MAT_DOMCMPC","Albania","ONT",0
2016,"EN_MAT_DOMCMPC","Albania","CRO",1.13173
2016,"EN_MAT_DOMCMPC","Albania","ONT",0
2016,"EN_MAT_DOMCMPC","Albania","ALP",11.56927
2016,"EN_MAT_DOMCMPC","Albania","FEO",0.05002
2016,"EN_MAT_DOMCMPC","Albania","PET",0.0582
2016,"EN_MAT_DOMCMPC","Albania","FOF",0.29052
2016,"EN_MAT_DOMCMPC","Albania","COL",0.21169
2016,"EN_MAT_DOMCMPC","Albania","NFO",0.28868
2016,"EN_MAT_DOMCMPC","Albania","WOD",0.29074
2016,"EN_MAT_DOMCMPC","Albania","NMC",6.34251
2016,"EN_MAT_DOMCMPC","Albania","NMA",0.44599
2016,"EN_MAT_DOMCMPC","Albania","CPR",0.40453
2016,"EN_MAT_DOMCMPC","Albania","GBO",1.46879
2016,"EN_MAT_DOMCMPC","Albania","WCH",0.00542
2016,"EN_MAT_DOMCMPC","Albania","MEO",0.3387
2016,"EN_MAT_DOMCMPC","Albania","NMM",6.7885
2016,"EN_MAT_DOMCMPC","Albania","GAS",0.02063
2016,"EN_MAT_DOMCMPC","Albania","BIM",3.30121
2017,"EN_MAT_DOMCMPC","Albania","CPR",0.41191
2017,"EN_MAT_DOMCMPC","Albania","MEO",0.2836
2017,"EN_MAT_DOMCMPC","Albania","NMA",0.33724
2017,"EN_MAT_DOMCMPC","Albania","NMC",6.33208
2017,"EN_MAT_DOMCMPC","Albania","WCH",0.00649
2017,"EN_MAT_DOMCMPC","Albania","NFO",0.32873
2017,"EN_MAT_DOMCMPC","Albania","FOF",0.44837
2017,"EN_MAT_DOMCMPC","Albania","CRO",1.08278
2017,"EN_MAT_DOMCMPC","Albania","NMM",6.66932
2017,"EN_MAT_DOMCMPC","Albania","FEO",-0.04513
2017,"EN_MAT_DOMCMPC","Albania","ONT",0
2017,"EN_MAT_DOMCMPC","Albania","COL",0.26373
2017,"EN_MAT_DOMCMPC","Albania","GAS",0.02136
2017,"EN_MAT_DOMCMPC","Albania","WOD",0.29212
2017,"EN_MAT_DOMCMPC","Albania","PET",0.16328
2017,"EN_MAT_DOMCMPC","Albania","BIM",3.22093
2017,"EN_MAT_DOMCMPC","Albania","GBO",1.42762
2017,"EN_MAT_DOMCMPC","Albania","ALP",11.19982
2018,"EN_MAT_DOMCMPC","Albania","WOD",0.29228
2018,"EN_MAT_DOMCMPC","Albania","BIM",3.22208
2018,"EN_MAT_DOMCMPC","Albania","FEO",-0.05392
2018,"EN_MAT_DOMCMPC","Albania","MEO",0.53976
2018,"EN_MAT_DOMCMPC","Albania","FOF",0.49401
2018,"EN_MAT_DOMCMPC","Albania","ONT",0
2018,"EN_MAT_DOMCMPC","Albania","CRO",1.11263
2018,"EN_MAT_DOMCMPC","Albania","NFO",0.59368
2018,"EN_MAT_DOMCMPC","Albania","NMM",6.05489
2018,"EN_MAT_DOMCMPC","Albania","GAS",0.0192
2018,"EN_MAT_DOMCMPC","Albania","WCH",0.00667
2018,"EN_MAT_DOMCMPC","Albania","CPR",0.41115
2018,"EN_MAT_DOMCMPC","Albania","NMA",0.24819
2018,"EN_MAT_DOMCMPC","Albania","GBO",1.39936
2018,"EN_MAT_DOMCMPC","Albania","PET",0.11374
2018,"EN_MAT_DOMCMPC","Albania","ALP",11.03644
2018,"EN_MAT_DOMCMPC","Albania","NMC",5.8067
2018,"EN_MAT_DOMCMPC","Albania","COL",0.36107
2019,"EN_MAT_DOMCMPC","Albania","MEO",0.56043
2019,"EN_MAT_DOMCMPC","Albania","ONT",0
2019,"EN_MAT_DOMCMPC","Albania","NMM",6.08436
2019,"EN_MAT_DOMCMPC","Albania","COL",0.36094
2019,"EN_MAT_DOMCMPC","Albania","CPR",0.42396
2019,"EN_MAT_DOMCMPC","Albania","GBO",1.37844
2019,"EN_MAT_DOMCMPC","Albania","GAS",0.02045
2019,"EN_MAT_DOMCMPC","Albania","NMC",5.82436
2019,"EN_MAT_DOMCMPC","Albania","CRO",1.19282
2019,"EN_MAT_DOMCMPC","Albania","PET",0.11713
2019,"EN_MAT_DOMCMPC","Albania","FOF",0.49852
2019,"EN_MAT_DOMCMPC","Albania","FEO",-0.05882
2019,"EN_MAT_DOMCMPC","Albania","ALP",10.9993
2019,"EN_MAT_DOMCMPC","Albania","WCH",0.00691
2019,"EN_MAT_DOMCMPC","Albania","NMA",0.26
2019,"EN_MAT_DOMCMPC","Albania","NFO",0.61925
2019,"EN_MAT_DOMCMPC","Albania","BIM",3.31432
2019,"EN_MAT_DOMCMPC","Albania","WOD",0.31218
2000,"EN_MAT_DOMCMPC","Azerbaijan","ALP",3.95431
2000,"EN_MAT_DOMCMPC","Azerbaijan","NFO",0.04342
2000,"EN_MAT_DOMCMPC","Azerbaijan","NMM",0.66277
2000,"EN_MAT_DOMCMPC","Azerbaijan","FEO",0.02264
2000,"EN_MAT_DOMCMPC","Azerbaijan","MEO",0.0724
2000,"EN_MAT_DOMCMPC","Azerbaijan","ONT",0
2000,"EN_MAT_DOMCMPC","Azerbaijan","CPR",0.37236
2000,"EN_MAT_DOMCMPC","Azerbaijan","GAS",0.50684
2000,"EN_MAT_DOMCMPC","Azerbaijan","PET",1.0411
2000,"EN_MAT_DOMCMPC","Azerbaijan","NMC",0.58111
2000,"EN_MAT_DOMCMPC","Azerbaijan","NMA",0.02004
2000,"EN_MAT_DOMCMPC","Azerbaijan","FOF",1.30244
