Year,SeriesCode,GeoAreaName,Mode of transportation,Value
2019,"IS_RDP_PORFVOL","Viet Nam","SEA",10860269
2020,"IS_RDP_PORFVOL","Viet Nam","SEA",12422588
2010,"IS_RDP_PORFVOL","Slovenia","SEA",481500
2011,"IS_RDP_PORFVOL","Slovenia","SEA",586813
2012,"IS_RDP_PORFVOL","Slovenia","SEA",585392
2013,"IS_RDP_PORFVOL","Slovenia","SEA",596430
2014,"IS_RDP_PORFVOL","Slovenia","SEA",676381
2015,"IS_RDP_PORFVOL","Slovenia","SEA",792700
2016,"IS_RDP_PORFVOL","Slovenia","SEA",835700
2017,"IS_RDP_PORFVOL","Slovenia","SEA",919700
2018,"IS_RDP_PORFVOL","Slovenia","SEA",980200
2019,"IS_RDP_PORFVOL","Slovenia","SEA",959000
2020,"IS_RDP_PORFVOL","Slovenia","SEA",945000
2010,"IS_RDP_PORFVOL","Spain","SEA",12549202
2011,"IS_RDP_PORFVOL","Spain","SEA",13896018
2012,"IS_RDP_PORFVOL","Spain","SEA",14017926
2013,"IS_RDP_PORFVOL","Spain","SEA",13870494
2014,"IS_RDP_PORFVOL","Spain","SEA",14186292
2015,"IS_RDP_PORFVOL","Spain","SEA",14245394
2016,"IS_RDP_PORFVOL","Spain","SEA",14941394
2017,"IS_RDP_PORFVOL","Spain","SEA",15979051
2018,"IS_RDP_PORFVOL","Spain","SEA",17154760
2019,"IS_RDP_PORFVOL","Spain","SEA",17372962
2020,"IS_RDP_PORFVOL","Spain","SEA",17372500
2010,"IS_RDP_PORFVOL","Sweden","SEA",1405330
2011,"IS_RDP_PORFVOL","Sweden","SEA",1512105
2012,"IS_RDP_PORFVOL","Sweden","SEA",1500200
2013,"IS_RDP_PORFVOL","Sweden","SEA",1443065
2014,"IS_RDP_PORFVOL","Sweden","SEA",1464200
2015,"IS_RDP_PORFVOL","Sweden","SEA",1457000
2016,"IS_RDP_PORFVOL","Sweden","SEA",1522400
2017,"IS_RDP_PORFVOL","Sweden","SEA",1554000
2018,"IS_RDP_PORFVOL","Sweden","SEA",1595500
2019,"IS_RDP_PORFVOL","Sweden","SEA",1630900
2020,"IS_RDP_PORFVOL","Sweden","SEA",1598282
2010,"IS_RDP_PORFVOL","Switzerland","SEA",99048
2011,"IS_RDP_PORFVOL","Switzerland","SEA",93371
2012,"IS_RDP_PORFVOL","Switzerland","SEA",102240
2013,"IS_RDP_PORFVOL","Switzerland","SEA",104945
2014,"IS_RDP_PORFVOL","Switzerland","SEA",104482
2015,"IS_RDP_PORFVOL","Switzerland","SEA",102916
2016,"IS_RDP_PORFVOL","Switzerland","SEA",114498
2017,"IS_RDP_PORFVOL","Switzerland","SEA",119231
2018,"IS_RDP_PORFVOL","Switzerland","SEA",119133
2019,"IS_RDP_PORFVOL","Switzerland","SEA",121366
