Year,SeriesCode,Country,Activity,Sex,Value
2014,SL_ISV_IFEM,Greece,TOTAL,Female,11.23
2014,SL_ISV_IFEM,Greece,NONAGR,Male,5.25
2014,SL_ISV_IFEM,Greece,TOTAL,Male,5.76
2013,SL_ISV_IFEM,Costa Rica,ISIC4_A,Both sexes,64.46
2013,SL_ISV_IFEM,Costa Rica,ISIC4_A,Male,59.36
2013,SL_ISV_IFEM,Costa Rica,TOTAL,Male,37.29
2013,SL_ISV_IFEM,Costa Rica,NONAGR,Both sexes,37.36
2013,SL_ISV_IFEM,Costa Rica,NONAGR,Female,43.56
2013,SL_ISV_IFEM,Costa Rica,ISIC4_A,Female,81.71
2014,SL_ISV_IFEM,Costa Rica,ISIC4_A,Female,81.81
2014,SL_ISV_IFEM,Costa Rica,NONAGR,Female,42.9
2014,SL_ISV_IFEM,Costa Rica,TOTAL,Female,46.47
2014,SL_ISV_IFEM,Costa Rica,NONAGR,Male,32.98
2015,SL_ISV_IFEM,Greece,NONAGR,Male,4.37
2015,SL_ISV_IFEM,Greece,TOTAL,Both sexes,7.13
2015,SL_ISV_IFEM,Greece,TOTAL,Male,4.82
2015,SL_ISV_IFEM,Greece,ISIC4_A,Male,7.78
2015,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,15.8
2015,SL_ISV_IFEM,Greece,NONAGR,Both sexes,5.88
2015,SL_ISV_IFEM,Greece,NONAGR,Female,7.96
2015,SL_ISV_IFEM,Greece,TOTAL,Female,10.37
2015,SL_ISV_IFEM,Greece,ISIC4_A,Female,28.68
2014,SL_ISV_IFEM,Costa Rica,NONAGR,Both sexes,37.06
2014,SL_ISV_IFEM,Costa Rica,ISIC4_A,Both sexes,65.78
2014,SL_ISV_IFEM,Costa Rica,TOTAL,Both sexes,41.22
2014,SL_ISV_IFEM,Costa Rica,TOTAL,Male,37.91
2014,SL_ISV_IFEM,Costa Rica,ISIC4_A,Male,60.58
2015,SL_ISV_IFEM,Costa Rica,TOTAL,Both sexes,42.05
2015,SL_ISV_IFEM,Costa Rica,ISIC4_A,Both sexes,66.67
2015,SL_ISV_IFEM,Costa Rica,NONAGR,Both sexes,37.51
2015,SL_ISV_IFEM,Costa Rica,ISIC4_A,Female,81.97
2015,SL_ISV_IFEM,Costa Rica,NONAGR,Female,43.66
2016,SL_ISV_IFEM,Greece,ISIC4_A,Male,8.85
2016,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,18.55
2016,SL_ISV_IFEM,Greece,NONAGR,Both sexes,7.27
2016,SL_ISV_IFEM,Greece,NONAGR,Female,9.53
2016,SL_ISV_IFEM,Greece,NONAGR,Male,5.62
2016,SL_ISV_IFEM,Greece,ISIC4_A,Female,34.05
2016,SL_ISV_IFEM,Greece,TOTAL,Female,12.24
2016,SL_ISV_IFEM,Greece,TOTAL,Male,6.03
2016,SL_ISV_IFEM,Greece,TOTAL,Both sexes,8.62
