Year,SeriesCode,GeoAreaName,Education level,Sex,Type of skill,Value
2018,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_READ,79.06275
2019,SE_TOT_PRFL,France,PRIMAR,MALE,SKILL_MATH,59.35083
2019,SE_TOT_PRFL,France,PRIMAR,BOTHSEX,SKILL_MATH,56.65546
2019,SE_TOT_PRFL,France,PRIMAR,FEMALE,SKILL_MATH,54.17498
2006,SE_TOT_PRFL,Georgia,PRIMAR,MALE,SKILL_READ,78.84642
2006,SE_TOT_PRFL,Georgia,PRIMAR,BOTHSEX,SKILL_READ,82.02211
2006,SE_TOT_PRFL,Georgia,PRIMAR,FEMALE,SKILL_READ,85.4317
2007,SE_TOT_PRFL,Georgia,PRIMAR,FEMALE,SKILL_MATH,35.50246
2007,SE_TOT_PRFL,Georgia,PRIMAR,BOTHSEX,SKILL_MATH,35.22814
2007,SE_TOT_PRFL,Georgia,PRIMAR,MALE,SKILL_MATH,34.98581
2009,SE_TOT_PRFL,Georgia,LOWSEC,MALE,SKILL_MATH,30.92
2009,SE_TOT_PRFL,Georgia,LOWSEC,BOTHSEX,SKILL_READ,38.02633
2009,SE_TOT_PRFL,Georgia,LOWSEC,FEMALE,SKILL_MATH,31.66
2009,SE_TOT_PRFL,Georgia,LOWSEC,BOTHSEX,SKILL_MATH,31.28598
2009,SE_TOT_PRFL,Georgia,LOWSEC,FEMALE,SKILL_READ,50.05
2009,SE_TOT_PRFL,Georgia,LOWSEC,MALE,SKILL_READ,26.31
2011,SE_TOT_PRFL,Georgia,PRIMAR,FEMALE,SKILL_READ,89.9073
2011,SE_TOT_PRFL,Georgia,PRIMAR,BOTHSEX,SKILL_READ,86.48549
2011,SE_TOT_PRFL,Georgia,PRIMAR,MALE,SKILL_MATH,40.47891
2011,SE_TOT_PRFL,Georgia,PRIMAR,BOTHSEX,SKILL_MATH,41.25604
2011,SE_TOT_PRFL,Georgia,PRIMAR,MALE,SKILL_READ,83.47171
2011,SE_TOT_PRFL,Georgia,PRIMAR,FEMALE,SKILL_MATH,42.10361
2015,SE_TOT_PRFL,Georgia,PRIMAR,FEMALE,SKILL_MATH,47.78539
2015,SE_TOT_PRFL,Georgia,LOWSEC,FEMALE,SKILL_MATH,46.02918
2015,SE_TOT_PRFL,Georgia,LOWSEC,BOTHSEX,SKILL_MATH,42.90395
2015,SE_TOT_PRFL,Georgia,LOWSEC,FEMALE,SKILL_READ,60.85177
2015,SE_TOT_PRFL,Georgia,PRIMAR,BOTHSEX,SKILL_MATH,47.26423
2015,SE_TOT_PRFL,Georgia,PRIMAR,MALE,SKILL_MATH,46.77198
2015,SE_TOT_PRFL,Georgia,LOWSEC,BOTHSEX,SKILL_READ,48.34195
