Year,SeriesCode,Страна ,Education level,Type of skill,Value
2015,SE_TOT_SESPI,Georgia,LOWSEC,SKILL_MATH,0.3699
2016,SE_TOT_SESPI,Georgia,PRIMAR,SKILL_READ,0.96618
2018,SE_TOT_SESPI,Georgia,LOWSEC,SKILL_MATH,0.39693
2018,SE_TOT_SESPI,Georgia,LOWSEC,SKILL_READ,0.39097
2019,SE_TOT_SESPI,Georgia,PRIMAR,SKILL_MATH,0.84561
2000,SE_TOT_SESPI,Germany,LOWSEC,SKILL_READ,0.55181
2000,SE_TOT_SESPI,Germany,LOWSEC,SKILL_MATH,0.49902
2001,SE_TOT_SESPI,Germany,PRIMAR,SKILL_READ,0.92116
2003,SE_TOT_SESPI,Germany,LOWSEC,SKILL_MATH,0.60117
2003,SE_TOT_SESPI,Germany,LOWSEC,SKILL_READ,0.60627
2006,SE_TOT_SESPI,Germany,LOWSEC,SKILL_READ,0.63257
2006,SE_TOT_SESPI,Germany,LOWSEC,SKILL_MATH,0.62424
2006,SE_TOT_SESPI,Germany,PRIMAR,SKILL_READ,0.75452
2007,SE_TOT_SESPI,Germany,PRIMAR,SKILL_MATH,0.5534
2009,SE_TOT_SESPI,Germany,LOWSEC,SKILL_READ,0.64786
2009,SE_TOT_SESPI,Germany,LOWSEC,SKILL_MATH,0.62906
2011,SE_TOT_SESPI,Germany,PRIMAR,SKILL_MATH,0.55013
2011,SE_TOT_SESPI,Germany,PRIMAR,SKILL_READ,0.88339
