Year,SeriesCode,Страна ,Type of waste treatment,Value
2009,EN_HAZ_TREATV,Serbia,RECYCL,106176.0
2009,EN_HAZ_TREATV,Serbia,INCINRT_EGY,382.0
2009,EN_HAZ_TREATV,Serbia,INCINRT,435.0
2009,EN_HAZ_TREATV,Serbia,LANDFIL,9963501.0
2009,EN_HAZ_TREATV,Serbia,OTHERWM,0.0
2010,EN_HAZ_TREATV,Serbia,RECYCL,200627.0
2010,EN_HAZ_TREATV,Serbia,LANDFIL,11082001.0
2010,EN_HAZ_TREATV,Serbia,OTHERWM,0.0
2010,EN_HAZ_TREATV,Serbia,INCINRT,23.0
2010,EN_HAZ_TREATV,Serbia,INCINRT_EGY,32834.0
2011,EN_HAZ_TREATV,Serbia,RECYCL,90026.0
2011,EN_HAZ_TREATV,Serbia,LANDFIL,12711008.0
2011,EN_HAZ_TREATV,Serbia,INCINRT_EGY,332.0
2011,EN_HAZ_TREATV,Serbia,INCINRT,370.0
2011,EN_HAZ_TREATV,Serbia,OTHERWM,0.0
2012,EN_HAZ_TREATV,Serbia,OTHERWM,0.0
2012,EN_HAZ_TREATV,Serbia,INCINRT,5.0
2012,EN_HAZ_TREATV,Serbia,LANDFIL,14386862.0
2012,EN_HAZ_TREATV,Serbia,INCINRT_EGY,224420.0
2012,EN_HAZ_TREATV,Serbia,RECYCL,555754.0
2013,EN_HAZ_TREATV,Serbia,INCINRT_EGY,308.0
2013,EN_HAZ_TREATV,Serbia,OTHERWM,0.0
2013,EN_HAZ_TREATV,Serbia,LANDFIL,16528642.0
2013,EN_HAZ_TREATV,Serbia,RECYCL,31303.0
2013,EN_HAZ_TREATV,Serbia,INCINRT,308.0
2014,EN_HAZ_TREATV,Serbia,OTHERWM,66.0
2014,EN_HAZ_TREATV,Serbia,INCINRT_EGY,185314.0
2014,EN_HAZ_TREATV,Serbia,LANDFIL,13435010.0
2014,EN_HAZ_TREATV,Serbia,RECYCL,437731.0
2014,EN_HAZ_TREATV,Serbia,INCINRT,0.0
2015,EN_HAZ_TREATV,Serbia,OTHERWM,0.0
2015,EN_HAZ_TREATV,Serbia,LANDFIL,16494383.0
2015,EN_HAZ_TREATV,Serbia,RECYCL,52796.0
2015,EN_HAZ_TREATV,Serbia,INCINRT_EGY,11395.0
