Year,SeriesCode,Страна ,Education level,Location,Quantile,Value
2019,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,0.99585
2007,SE_AGP_CPRA,Costa Rica,LOWSEC,URBAN,_T,1.1179
2007,SE_AGP_CPRA,Costa Rica,LOWSEC,RURAL,_T,1.1197
2007,SE_AGP_CPRA,Costa Rica,PRIMAR,RURAL,_T,1.0571
2007,SE_AGP_CPRA,Costa Rica,UPPSEC,URBAN,_T,1.2419
2007,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.0517
2007,SE_AGP_CPRA,Costa Rica,UPPSEC,ALLAREA,_T,1.2218
2008,SE_AGP_CPRA,Costa Rica,UPPSEC,RURAL,_T,1.1876
2008,SE_AGP_CPRA,Costa Rica,PRIMAR,URBAN,_T,1.0492
2008,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.0542
